activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,287281,[],CHEMBL817298,Inhibitory concentration against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,N=C(N)N1CCC[C@@H](C[C@H]2C(=O)N(C(=O)N3CCN(C(=O)CCCCCc4ccccc4)CC3)[C@@H]2C(=O)O)C1,,,CHEMBL1134958,Bioorg. Med. Chem. Lett.,2002,,CHEMBL70738,,CHEMBL70738,,True,http://www.openphacts.org/units/Nanomolar,207088,<,1,True,<,,IC50,nM,,1.7,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,nM,UO_0000065,,1.7
,292258,[],CHEMBL817298,Inhibitory concentration against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,CC(C)C(OC(=O)N1CCN(C(=O)N2C(=O)[C@H](CC3CN(C(=N)N)C3)[C@H]2C(=O)O)CC1)C(C)C,,,CHEMBL1134958,Bioorg. Med. Chem. Lett.,2002,"{'bei': '16.48', 'le': '0.32', 'lle': '7.25', 'sei': '4.93'}",CHEMBL109733,,CHEMBL109733,7.92,False,http://www.openphacts.org/units/Nanomolar,207081,=,1,True,=,,IC50,nM,,12.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,nM,UO_0000065,,12.0
,296169,[],CHEMBL817298,Inhibitory concentration against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,CC(C)(C)NC(=O)N1CCN(C(=O)N2C(=O)[C@H](CCCN=C(N)N)[C@H]2C(=O)O)CC1,,,CHEMBL1134958,Bioorg. Med. Chem. Lett.,2002,"{'bei': '19.74', 'le': '0.38', 'lle': '9.20', 'sei': '4.81'}",CHEMBL71037,,CHEMBL71037,8.40,True,http://www.openphacts.org/units/Nanomolar,207090,=,1,True,=,,IC50,nM,,4.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,nM,UO_0000065,,4.0
,297416,[],CHEMBL817298,Inhibitory concentration against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,N=C(N)N1CCCC(C[C@H]2C(=O)N(C(=O)N3CCN(C(=O)CCCCCc4ccccc4)CC3)[C@@H]2C(=O)O)C1,,,CHEMBL1134958,Bioorg. Med. Chem. Lett.,2002,,CHEMBL440515,,CHEMBL440515,,False,http://www.openphacts.org/units/Nanomolar,207093,<,1,True,<,,IC50,nM,,1.7,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,nM,UO_0000065,,1.7
,303592,[],CHEMBL817298,Inhibitory concentration against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,CC(C)C(OC(=O)N1CCN(C(=O)N2C(=O)[C@H](CCCN=C(N)N)[C@H]2C(=O)O)CC1)C(C)C,,,CHEMBL1134958,Bioorg. Med. Chem. Lett.,2002,"{'bei': '17.92', 'le': '0.35', 'lle': '7.89', 'sei': '4.89'}",CHEMBL302058,,CHEMBL302058,8.40,True,http://www.openphacts.org/units/Nanomolar,207079,=,1,True,=,,IC50,nM,,4.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,nM,UO_0000065,,4.0
,303600,[],CHEMBL817298,Inhibitory concentration against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,N=C(N)N1CCCC(C[C@H]2C(=O)N(C(=O)N3CCN(C(=O)CCCCCc4ccccn4)CC3)[C@@H]2C(=O)O)C1,,,CHEMBL1134958,Bioorg. Med. Chem. Lett.,2002,"{'bei': '15.39', 'le': '0.29', 'lle': '6.98', 'sei': '5.08'}",CHEMBL447534,,CHEMBL447534,8.34,False,http://www.openphacts.org/units/Nanomolar,207091,=,1,True,=,,IC50,nM,,4.6,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,nM,UO_0000065,,4.6
,632497,[],CHEMBL817289,Inhibitory activity against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,CC(C)(C)NC(=O)N1CCN(C(=O)N2C(=O)[C@H](CC3CCNCC3)[C@H]2C(=O)O)CC1,,,CHEMBL1147563,Bioorg. Med. Chem. Lett.,2004,"{'bei': '17.76', 'le': '0.34', 'lle': '6.99', 'sei': '6.15'}",CHEMBL70155,,CHEMBL70155,7.52,False,http://www.openphacts.org/units/Nanomolar,127431,=,1,True,=,,IC50,nM,,30.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,uM,UO_0000065,,0.03
,632506,[],CHEMBL817289,Inhibitory activity against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,COc1cccc(CCC(=O)N2CCN(C(=O)N3C(=O)[C@H](CC4CCNCC4)[C@H]3C(=O)O)CC2)c1,,,CHEMBL1147563,Bioorg. Med. Chem. Lett.,2004,"{'bei': '16.14', 'le': '0.31', 'lle': '6.66', 'sei': '6.57'}",CHEMBL304985,,CHEMBL304985,7.85,False,http://www.openphacts.org/units/Nanomolar,127392,=,1,True,=,,IC50,nM,,14.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,uM,UO_0000065,,0.014
,632509,[],CHEMBL817289,Inhibitory activity against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,O=C(CCC(=O)N1CCN(C(=O)N2C(=O)[C@H](CC3CCNCC3)[C@H]2C(=O)O)CC1)NCCc1ccccc1,,,CHEMBL1147563,Bioorg. Med. Chem. Lett.,2004,"{'bei': '14.73', 'le': '0.28', 'lle': '7.08', 'sei': '5.58'}",CHEMBL70523,,CHEMBL70523,7.77,False,http://www.openphacts.org/units/Nanomolar,127401,=,1,True,=,,IC50,nM,,17.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,uM,UO_0000065,,0.017
,634897,[],CHEMBL817289,Inhibitory activity against human tryptase,B,,,BAO_0000190,BAO_0000224,protein format,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)Cc2ccc(Oc3ccccc3)cc2)CC1,,,CHEMBL1147563,Bioorg. Med. Chem. Lett.,2004,"{'bei': '15.53', 'le': '0.29', 'lle': '5.71', 'sei': '6.95'}",CHEMBL302792,,CHEMBL302792,8.30,False,http://www.openphacts.org/units/Nanomolar,127416,=,1,True,=,,IC50,nM,,5.0,CHEMBL2095193,Homo sapiens,Tryptase,9606,,,IC50,uM,UO_0000065,,0.005
