molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL72532,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)CCCCCc2cccc3ccccc23)CC1,active,548.6840000000003,3.508200000000003,2.0,5.0,9.0
CHEMBL160602,O=C(CCCC(=O)OCN1C(=O)c2ccccc2S1(=O)=O)NCc1ccc(Cl)c(Cl)c1,active,485.34500000000014,3.125300000000001,1.0,6.0,6.638272163982407
CHEMBL71061,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)Cc2ccc(-c3ccccc3)cc2)CC1,active,518.6140000000003,2.4616000000000025,2.0,5.0,8.301029995663981
CHEMBL302711,CC(=O)Nc1ccsc1C(=O)N1CCN(C(=O)N2C(=O)[C@H](CC3CCNCC3)[C@H]2C(=O)O)CC1,active,491.57000000000033,0.885600000000001,3.0,7.0,6.721246399047171
CHEMBL419449,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)CCCCCCc2ccccc2)CC1,active,512.6510000000005,2.7451000000000025,2.0,5.0,8.301029995663981
CHEMBL70763,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)CCCc2ccc3ccccc3c2)CC1,active,520.6300000000003,2.7280000000000024,2.0,5.0,8.0
CHEMBL70813,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)c2ccc(OCc3ccccc3)cc2)CC1,active,534.6130000000002,2.4447000000000028,2.0,6.0,8.397940008672037
CHEMBL71072,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)c2cc3cc(F)ccc3[nH]2)CC1,active,485.5160000000003,1.486100000000001,3.0,5.0,6.346787486224656
CHEMBL424233,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)c2cccc(Oc3ccccc3)c2)CC1,active,520.5860000000002,2.658000000000002,2.0,6.0,7.823908740944319
CHEMBL429029,Cc1cccc(CCC(=O)N2CCN(C(=O)N3C(=O)[C@H](CC4CCNCC4)[C@H]3C(=O)O)CC2)c1,active,470.57000000000033,1.4931200000000018,2.0,5.0,7.886056647693163
CHEMBL74178,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)c2ccc(C3CCCCC3)cc2)CC1,active,510.6350000000005,2.913400000000002,2.0,5.0,7.3979400086720375
CHEMBL73215,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)c2ccc(-c3ccccc3)cc2)CC1,active,504.58700000000033,2.532700000000002,2.0,5.0,8.221848749616356
CHEMBL72626,CCCCCCc1ccc(-c2ccc(C(=O)N3CCN(C(=O)N4C(=O)[C@H](CC5CCNCC5)[C@H]4C(=O)O)CC3)cc2)cc1,active,588.7490000000003,4.6555000000000035,2.0,5.0,6.920818753952375
CHEMBL70410,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)CCCCCCCc2ccccc2)CC1,active,526.6780000000005,3.135200000000003,2.0,5.0,8.301029995663981
CHEMBL303829,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)Cc2ccc3c(c2)CCCC3)CC1,active,496.6080000000005,1.6734000000000024,2.0,5.0,7.522878745280337
CHEMBL70533,O=C1CC[C@@H](C(=O)N2CCN(C(=O)N3C(=O)[C@H](CC4CCNCC4)[C@H]3C(=O)O)CC2)N1,active,435.4810000000003,-1.1694999999999949,3.0,6.0,6.769551078621726
CHEMBL72708,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)CCCCCCc2cccc3ccccc23)CC1,active,562.7110000000004,3.8983000000000043,2.0,5.0,9.0
CHEMBL72238,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)Cc2ccc3ccccc3c2)CC1,active,492.57600000000036,1.9478000000000022,2.0,5.0,7.154901959985743
CHEMBL311165,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)c2ccccc2CCc2ccccc2)CC1,active,532.6410000000002,2.6509000000000027,2.0,5.0,6.853871964321762
CHEMBL70350,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)CCCCCc2ccccc2)CC1,active,498.6240000000005,2.355000000000002,2.0,5.0,9.0
CHEMBL304359,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)CCCCCc2ccc3ccccc3c2)CC1,active,548.6840000000003,3.508200000000004,2.0,5.0,9.0
CHEMBL423308,CC1=NN(c2ccc(C(=O)N3CCN(C(=O)N4C(=O)[C@H](CC5CCNCC5)[C@H]4C(=O)O)CC3)cc2)C(=O)C1,active,524.5780000000003,0.9783000000000015,2.0,7.0,6.42021640338319
CHEMBL424047,O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)CCCC2CCCCC2)CC1,active,476.61800000000056,2.302500000000001,2.0,5.0,7.619788758288394
