molecule_chembl_id
CHEMBL144342,PLAU,F10,TPSG1,PRSS1,F2,PRSS2,TPSAB1,TPSD1,PLG,ELANE,PRSS3
CHEMBL144312,TPSAB1,TPSG1,TPSD1
CHEMBL144163,TPSAB1,TPSG1,TPSD1
CHEMBL144867,TPSAB1,TPSG1,TPSD1
CHEMBL344560,PLAU,F10,TPSG1,PRSS1,F2,PRSS2,TPSAB1,TPSD1,PLG,ELANE,PRSS3
CHEMBL144711,TPSAB1,TPSG1,TPSD1
CHEMBL144603,TPSAB1,TPSG1,TPSD1
CHEMBL144166,TPSAB1,TPSG1,TPSD1
CHEMBL322538,TPSAB1,TPSG1,TPSD1
CHEMBL107493,TPSAB1,TPSG1,TPSD1
CHEMBL321622,TPSAB1,TPSG1,TPSD1
CHEMBL109947,TPSAB1,TPSG1,TPSD1
CHEMBL110061,TPSAB1,TPSG1,TPSD1
CHEMBL320744,TPSAB1,TPSG1,TPSD1
CHEMBL111141,TPSAB1,TPSG1,TPSD1
CHEMBL111250,TPSAB1,TPSG1,TPSD1
CHEMBL109602,TPSAB1,TPSG1,TPSD1
CHEMBL109882,TPSAB1,TPSG1,TPSD1
CHEMBL326480,TPSAB1,TPSG1,TPSD1
CHEMBL111270,TPSAB1,TPSG1,TPSD1
CHEMBL109254,TPSAB1,TPSG1,TPSD1
CHEMBL443539,TPSAB1,TPSG1,TPSD1
CHEMBL111548,TPSAB1,TPSG1,TPSD1
CHEMBL320529,TPSAB1,TPSG1,TPSD1
CHEMBL109888,TPSAB1,TPSG1,TPSD1
CHEMBL322526,TPSAB1,TPSG1,TPSD1
CHEMBL107791,TPSAB1,TPSG1,TPSD1
CHEMBL104354,TPSAB1,TPSG1,TPSD1
CHEMBL432789,TPSAB1,TPSG1,TPSD1
CHEMBL107476,TPSAB1,TPSG1,TPSD1
CHEMBL104434,TPSAB1,TPSG1,TPSD1
CHEMBL323783,PLAU,F10,PRSS1,TPSG1,PROC,F2,TPSD1,PLAT,PLG,TPSAB1
CHEMBL321466,PLAU,F10,PRSS1,TPSG1,PROC,F2,TPSD1,PLAT,PLG,TPSAB1
CHEMBL107805,TPSAB1,TPSG1,TPSD1
CHEMBL106183,TPSAB1,TPSG1,TPSD1
CHEMBL106146,TPSAB1,TPSG1,TPSD1
CHEMBL107690,TPSAB1,TPSG1,TPSD1
CHEMBL104220,TPSAB1,TPSG1,TPSD1
CHEMBL326448,TPSAB1,TPSG1,TPSD1
CHEMBL320722,TPSAB1,TPSG1,TPSD1
CHEMBL322441,TPSAB1,TPSG1,TPSD1
CHEMBL321145,PLAU,F10,PRSS1,TPSG1,PROC,F2,TPSD1,PLAT,PLG,TPSAB1
CHEMBL419366,TPSAB1,TPSG1,TPSD1
CHEMBL107233,TPSAB1,TPSG1,TPSD1
CHEMBL106903,TPSAB1,TPSG1,TPSD1
CHEMBL321378,TPSAB1,TPSG1,TPSD1
CHEMBL320659,TPSAB1,TPSG1,TPSD1
CHEMBL104601,TPSAB1,TPSG1,TPSD1
CHEMBL317458,TPSAB1,TPSG1,TPSD1
CHEMBL104309,TPSAB1,TPSG1,TPSD1
CHEMBL319925,TPSAB1,TPSG1,TPSD1
CHEMBL107427,TPSAB1,TPSG1,TPSD1
CHEMBL107095,TPSAB1,TPSG1,TPSD1
CHEMBL104064,PLAU,F10,PRSS1,TPSG1,PROC,F2,TPSD1,PLAT,PLG,TPSAB1
CHEMBL107226,TPSAB1,TPSG1,TPSD1
CHEMBL326694,TPSAB1,TPSG1,TPSD1
CHEMBL320473,TPSAB1,TPSG1,TPSD1
CHEMBL3604626,TPSG1,PRSS1,F2,PRSS2,TPSD1,TPSAB1,PRSS3
